acquisition  n. 获得.添加的物品
adolescent  a. 青春期的.青年的 n. 青少年 
adverse  a. 不利的.敌对的.相反的.逆的 
aesthetic  a. 美学的.审美的.有美感 
affiliate  vt. 附属.接纳 vi. 有关 
afflict  vt. 使痛苦.折磨 
aggravate  vt. 使恶化.使更加重 
agitation  n.鼓动.煸动;搅动 
alleviate  vt. 减轻.使缓和 
amends  n. 赔偿 
anonymous  a. 匿名的 
appraisal  n. 评价.估价.鉴定 
articulate  a. 发音清晰的.听得懂的 
ascertain  vt.查明.确定.弄清 
ascribe  vt.把…归于 
assault  vt.袭击;殴打 n.攻击 
assert  vt.断言.宣称;维护 
asset  n. 资产.有用的东西 
assimilate  vt. 使同化.吸收.比较 
attorney  n.代理人;辩护律师 
augment  vt.vi.n. 增加.增大 
authentic  a. 真实的.可靠的.可信的 
avail  vt.有益于 n.效用 
avert  vt. 转开.避免.防止 
baffle  vt.使挫折 n.迷惑 
barren  a.贫瘠的;不妊的 
batch  n. 一组.分批.成批.批 
bizarre  a. 奇异的 
bleak  a. 萧瑟的.苍白的.荒凉的 
blunder  vi.犯大错 n.大错 
blunt  a. 钝的.坦率的.麻痹的 
bonus  n. 奖金.红利 
brace  n.支柱 vt.拉紧.撑牢 
brittle  a.脆的;易损坏的 
capsule  n. 胶囊.瓶帽.太空舱 
casualty  n. 伤亡.受害者 
ceramic  a. 陶器的 n. 陶瓷制品 
cereal  n.谷类.五谷.禾谷 
commentary  n. 注释.评论.批评 
commitment  n. 委托.实行.承担义务.赞助 
commute  vt. 交换.兑换. 经常来往 
compatible  a.一致的;兼容制的 
competence  n. 胜任.资格.能力 
compile  vt.编辑.编制.搜集 
compulsory  a.强迫的.义务的 
concede  vt. 承认.退让 vi. 让步 
conceive  vt.设想.以为;怀孕 
concession  n.让步.迁就 
concise  a. 简洁的.简明的 
confer  vt. 赠予.协议 vi. 协商 
configuration  n. 结构.配置.形态 
conform  vt.使遵守 vi.一致 
confusion  n.混乱;骚乱;混淆 
consecutive  a. 连续的.联贯的.始终一贯的 
consensus  n. 一致 
conserve  vt. 保存.保全 n. 蜜饯.果酱 
conspicuous  a. 显著的.显眼的.出众的 
constituent  a.形成的 n.选民 
constrain  vt. 强迫.勉强.驱使 
consultant  n. 顾问.商议者 
contaminate  vt. 弄脏.毒害.传染 
contemplate  vt. 注视.沉思.打算 vi. 冥思苦想 
